"PRO_NUMERO","PRO_NOMBRE","PRO_DOMICI","PRO_LOCALI","PRO_PROVIN","PRO_CODPOS","PRO_TELEFO","PRO_REPRES","PRO_JEFEVE","PRO_CUIT","PRO_CODIVA","PRO_FEULCO","PRO_MONEDA","PRO_ULISTA","PRO_MEMO","PRO_RUBRO","PRO_ZONA","PRO_SALDAC","PRO_CTACTE","PRO_CODGAN","PRO_CPRSUS","PRO_GANAN","PRO_CONVTA","PRO_INGBTO","PRO_INGBRO"
"21","IMPECO S.A.","ESTANISLAO ZEBALLOS 2739","BECCAR",2,1643,"4719-8500 / 0800-5558826",,,"30-61088962-6",1,01/02/2001,1,,,11,0,"0,00","S",1,"N",6,0,1,
"22","INDARTUBO S.A.","MONSEÑOR BUFANO 3441","SAN JUSTO",2,1754,"TEL/FAX= 4484-3836","JOSE LUIS",,"30-56875984-9",1,01/02/2001,1,,,11,0,"0,00","N",1,"N",6,9,1,
"25","GIROS (Fabian Berdiuk)","ESPORA 3763","VILLA LINCH",2,1672,"15-4140-3359","TX:4755-4505 OF:4753-1876","FABIAN BERDIUK","20-20050454-3",1,20/04/2001,1,,,11,0,"0,00","S",1,"N",6,0,0,
"26","SEDIL S.A.","GUEMEZ 2767","HURLINGHAM",2,1686,"4665-4536/FAB.4452-3237","ORLANDO",,"30-63313846-6",1,13/09/2000,1,,,11,0,"0,00","S",1,"S",6,99,0,
"27","HILOS COSEFIL S.A.","APOLINARIO FIGUEROA 1331","CAPITAL FEDERAL",1,1416,"4581-4312","ROY 15-4991-4857",,"30-55748090-7",1,10/04/2001,1,,,11,0,"-569,43","S",1,"N",6,9,1,
"28","BOSSI HNOS Y MART.","VICENTE LOPEZ 1973","AVELLANEDA",2,1870,"4204-1753","ROSA - LUIS - LILIANA",,"30-50311079-9",1,21/08/2002,1,,,11,0,"0,00","S",1,"N",6,9,0,
"30","SITRE SOLUTION GROUP S.A.","LA PAMPA 4872","CAPITAL",1,1431,"4523-6104/5 FAX=4523-6183","JAVIER","ALBERTI","30-61718032-0",1,31/07/2008,1,,,22,0,"-4012,84","S",1,"N",6,21,1,
"31","RUBENICO S.A.","RUTA 8 Nº4949","VILLA BALLESTER",2,1653,"4768-2090",,,"30-70826810-7",1,25/08/2010,1,,,11,0,"0,00","S",1,"N",6,97,1,
"40","SERVITODO (MOTOS)","ARTURO ILLIA 3123","SAN MIGUEL",2,1663,"4664-8661",,"MARCELO CHECHI","27-16239753-8",8,26/12/2000,1,,,39,0,"0,00","S",4,"N",0,90,1,
"41","C&N MENSAJERIA EMPRESARIA","GARAY 436","HURLINGHAM",2,1686,"4665-3240",,"CARLOS 15-5340-2398","20-14384441-3",8,02/08/2005,1,,,21,0,"-75,00","S",4,"N",0,3,1,
"43","TEXTIL SAN MARTIN SA","CALLE 83 (INT BOERS 946)","SAN MARTIN",2,1650,"4713-6662/4752-7770","PONCE  155419-9652",,"30-70803628-1",1,13/01/2005,1,,,11,0,"0,00","S",1,"N",6,3,1,
"44","URDIDO TEXTIL (VILLARINO)","PASAJE82 2064entre c43y47","SAN ANDRES",2,0,"767-3442","VILLARINO ALBERTOyCARLOS","C.VILLARINO 406-6318","30-61375741-0",1,01/12/2004,1,,,11,0,"-18579,01","S",1,"N",6,0,0,
"45","RODRIGUEZ ALFONZO","BARCALA 768","ITUZAINGO",2,0,"4623-3623",,"ALFONZO","20-15312137-1",1,01/06/2003,1,,,11,0,"294,36","S",1,"N",6,0,0,
"46","FILOTEX SRL","AV LA PLATA 2986","QUILMES OESTE",2,1878,"4200-3391 // 4200-7111","FAX 4280-5248",,"30-68935209-6",1,26/07/2010,2,,,11,0,"0,00","S",1,"N",6,22,2,
"47","ARGOLD SA","MT ALVEAR 636 P10","CAPITAL FEDERAL",1,1058,"4312-1611","03327-452356",,"30-62077196-8",0,01/07/2003,1,,,11,0,"0,00","S",1,"N",6,0,1,
"50","GEMETTO RICARDO","ENTRE RIOS 6751","LOMA HERMOSA",2,0,"4739-6583","1548704797","GEMETTO RICARDO","23-07700025-9",1,21/04/2006,1,,,11,0,"-23789,47","S",1,"N",6,21,1,
"51","FILTEX SRL","CALLE 28 N 3940(VELEZ SAR","SAN MARTIN",2,0,"4754-5034","1553077586  ROSSI",,"30-70855234-4",1,01/12/2005,1,,,11,0,"0,00","S",1,"N",6,0,1,
"55","FABRIC.ELECTRONICAS S.A.","PEDRO MORAN 4918","DEVOTO",2,1419,"4567-7399/4639-0044",,,"33-50356207-9",1,02/05/2001,1,,,11,0,"0,00","S",1,"N",6,0,0,
"57","EMBAMAR S.A.","CALLE 32 Nº3926","SAN MARTIN",2,1650,"753-5118","VALENZUELA",,"30-66335858-4",1,03/11/2000,1,,,11,0,"0,00","S",1,"N",6,18,0,
"58","MICROPACK S.A.","NICASIO OROÑO 649","CAPITAL FEDERAL",1,1405,"4431-4444/5033-9999","JULIO 15-4447-1821",,"30-55440705-2",1,01/03/2002,1,,,11,0,"-504,27","S",1,"N",6,12,1,
"59","LAMINADOS CATALANES S.A.","AV.PTE.J.D.PERON S/N","PARQUE INDUSTRIAL",6,5700,"431-2885/2911 F:4431-2995","MICROPACK",,"30-60060295-7",1,01/05/2002,1,,,11,0,"0,00","S",1,"N",6,12,1,
"65","LONERA EL ROSARIO S.A.","LA PUNILLA","LA PUNILLA",6,5831,"051-703420/701188/700588",,,"33-61795864-9",1,20/08/2002,1,,,11,0,"0,00","S",1,,6,0,0,
"69","L.S.J. S.R.L.","JUANA AZURDUY 26.","S.TESEI",2,1688,"4450-2324","LUIS SEOANE   *63*",,"30-68392426-8",1,27/07/2001,1,,,11,0,"0,00","S",1,"N",6,12,1,
"74","PLASWAG S.A.","LAVALLE Nº2507","VILLA MAIPU.S.MARTIN",2,1650,"TELFAX: 713-3862/752-0040","713-7141/4752-0040","15-4447-0672 GABRIEL","30-64799023-8",1,01/08/2004,1,,,11,0,"0,00","S",4,"N",0,18,1,
"78","ITALPACKAGING","SAN LUIS 845 (ex ITALMEC)","MORON",2,1708,"4628-0982 FAX:4627-6668","SILVIO TIOZZO/HIJA*SILVIA",,"30-66234827-5",1,30/01/2006,1,,,11,0,"0,00","S",1,"N",6,98,0,
"80","TEX-FABRIC S.A.","PASCUAL SIMONE 587","LUJAN",2,6700,"02323-433490/435881/35882","YEDEN 15-50039738","15-50039738","30-68712006-6",1,01/03/2011,1,,,11,0,"-6337,97","S",1,"N",6,3,2,
"81","INDUSNOR SA","MURILLO 749","CAPITAL",1,1414,"4858-8451/52","COB:4858-8451/52/4820",,"30-61048807-9",1,30/09/2003,1,,,11,0,"0,00","S",4,"N",0,0,1,
"82","TIPOITI SA","SAN MARTIN 627","CAPITAL FEDERAL",1,1004,"4314-4482 //F 4508-6425",,,"30-50267112-6",1,23/06/2003,1,,,11,0,"0,00","S",4,"N",6,0,1,
"83","ESTOPAPLAST S.A.","SAAVEDRA 538","RAMOS MEJIA",2,1704,"4658-1140 FAX 4656-3470",,,"30-54195781-9",1,01/09/2008,1,,,11,0,"0,00","S",1,"N",6,3,2,
"90","CEDECOR S.A.","AV.PTE.R.S.PEÑA 1119 7*","CAPITAL FEDERAL",1,1035,"4732-4136/37/38","EMILIANO / MARILU GOMEZ",,"30-70702352-6",1,11/09/2009,1,,,11,0,"0,00","S",1,"N",6,97,2,
"91","RELOFER S.A.","MENDOZA 6525","LOMA HERMOSA",2,1657,"FRANQUEL 4635-9993casa","LUIS 15-57000183","CASA LUIS-4635-9993","30-69287460-5",1,19/01/2010,1,,,11,0,"3882,61","S",1,"N",6,0,1,
"92","ICI ARGENTINA S.A.I.C","AV PASEO COLON 221","CAPITAL",1,1063,"4343-2010/FAX 4331-1185","MARCELO VIGO","ADRIAN POSE  COBRANZAS","30-50123409-1",1,19/06/2007,1,,,11,0,"0,00","S",4,"N",0,0,1,
"93","EORY, VICTOR JAVIER","VENTURA ALEGRE 544","ITUZAINGO",2,1714,"623-6219/624-3906/661-371","15-41482756 JAVIER",,"23-17487244-9",1,25/11/2002,2,,,11,0,"10802,84","S",1,"N",6,0,0,
"94","PRINCZ S.A.I.C.F. e L.","CALLE 80 Nº5844","VILLA LIBERTAD",2,1650,"4844-1080 (FAX=4844-0650)","INT 11 O 31 VTAS FABIANA*","COUTO","30-51551793-2",1,06/04/2001,1,,,11,0,"0,00","S",1,"N",6,9,0,
"95","NAHMIAS SACeI","GRAL C DIAZ 2849","CAPITAL FEDERAL",1,1416,"4581-5644","FAX 4582-4657",,"33-50062564-9",1,23/09/2003,1,,,11,0,"0,00","S",1,"N",6,0,1,
"101","GRAFICA LICEO","DIAGONAL 78 Nº3850","SAN ANDRES",2,1651,"4764-2445/3946█4768-8074","VERONICA, GABRIELA","CARLOS ALBERTO GARCIA","20-13266629-7",1,31/03/2011,1,,,30,0,"-2012,05","S",1,"N",6,3,1,
"102","GRAFICA RIVELLI","CALLE 85 Nº5708","VILLA BALLESTER",2,1653,"RUBEN 4767-9483/CASA 9572","BETO",,"20-10898284-6",1,07/01/2002,1,,,30,0,"0,00","S",1,"N",6,9,1,
"103","BALLESTER CALCOMANIAS","CALLE 130 Nº 1744","V.BALLESTER",2,1653,"764-1521",,"ANTONIO DI'PIETRO","33-61453153-9",1,07/10/2003,1,,,12,0,"0,00","S",1,"N",6,0,0,
"104","GRAFICOM S.R.L.","CURAPALIGUE 1695","CASEROS",2,1678,"4759-5651 PART=4751-4356","15-4427-7704 MARTINEZ","graficom@ciudad.com.ar","30-64087799-1",1,01/12/2000,1,,,12,0,"0,00","S",1,"N",6,0,0,
"105","MAQ.LOMA HERMOSA(DOMINGO)","RTA.8 Nº9820","LOMA HERMOSA",2,1657,"739-5109",,"MINGO","20-15210492-9",1,28/05/2008,1,,,11,0,"0,00","S",1,"N",6,0,1,
"106","YPF PEDUZZI S.H.","CALLE 83 Nº2079","SAN MARTIN",2,1650,"4768-0973",,,"30-68478634-9",1,01/03/2003,1,,,23,0,"-3224,37","S",1,"N",6,98,1,
"111","GRUPO MARQUEZ","AZCUENAGA 795","MORON",2,1708,"4489-0099/0107/0262",,,"30-69753545-0",1,09/05/2001,1,,,29,0,"0,00","S",1,"N",6,96,1,
"112","DREUS(EXPERT GRUPO)","AV CABILDO 1942 3º PISO","CAPITAL",1,1428,"4788-1714/1716","FAX 4786-5377",,"30-68347747-4",1,23/10/2001,1,,,20,0,"0,00","S",1,"N",6,0,1,
"115","S.G.ASESORES INDUST.S.R.L","CALLE 55 Nº1362","LA PLATA",2,1900,"OFICINA:0221-4575152","SANSOGNI:15-412-2598",,"30-66565145-9",1,01/02/2011,1,,,11,0,"-1030,29","S",1,"N",6,3,1,
"116","ESTUDIO TECNICO LABORALde","JUAREZ 4599(44)","SAN MARTIN",2,1650,"4755-6644","ANTONIO PEREIRA","ESTUDIOETL@CIUDAD.COM.AR","20-13780560-0",8,30/09/2006,1,,,31,0,"0,00","S",4,"N",0,18,1,
"117","NOSIS S.A.","SAN MARTIN 365, 1ºPISO","CAPITAL FEDERAL",1,1004,"4394-4313/5297 F4325-8409","cobranza 6316-0042",,"30-62845551-8",1,26/03/2011,1,,,11,0,"-193,00","S",1,"N",6,97,1,
"118","XEROX ARGENTINA I.C.S.A.","JARAMILLO 1595","CAP.FED.",1,1429,"703-7777 ATENCION AL CLIE","SANDRA","703-7700 FAX 703-7701","30-54168237-2",1,01/02/2005,1,,,11,0,"-474,78","S",4,"N",0,0,1,
"119","PLASMATRI","CASTELLI 448","J.C.PAZ",2,1665,"02320-430855","LUIS LUCHECCI",,"30-61286557-0",1,10/05/2005,1,,,11,0,"3284,23","S",1,"N",6,0,1,
"120","SIMPA S.A","THAMES 333","BOULOGNE SUR MER",2,1609,"4708-3200/FAX 3250","FABIAN APPA","15-51835138","30-58004290-9",1,31/07/2007,1,,,11,0,"0,00","S",1,"N",12,97,1,
"121","HLF CUSTOM SERVICES SRL","AV BELGRANO 258 5º PISO","CAP.FED.",1,1020,"4343-2543/2538/2541","FAX= 4343-2544","HUGO y DIEGO","30-70783482-6",1,18/04/2011,1,,,11,0,"4944,58","S",1,"N",8,3,1,
"122","SCOTIABANK QUILMES","J.D.PERON 564, 2ºPISO","SAN MIGUEL",2,1663,"4338-8000",,,"30-50000487-4",1,11/04/2002,2,,,19,0,"0,00","N",1,"N",1,0,0,
"123","GAIRE S.A.","ALMEIRA 3061","BILLINGHURST",1,1426,"4844-9310","CARLOS",,"30-69878365-2",1,10/05/2005,2,,,11,0,"0,00","S",1,"N",6,9,1,
"124","DANIEL C. CAFARELLI","BELGRANO 535 7MO C Y D","CAPITAL FEDERAL",1,1092,"4331-7705 4342-7672","DESPACHANTE TIMERS GAIRE",,"20-13385056-3",1,,1,,,31,0,"0,00","S",1,"N",6,0,1,
"199","PACO MADRE",,"MORRIS",0,0,,,,,0,20/08/2002,1,,,11,0,"0,00","S",1,"N",1,0,0,
"200","LAINDELL S.R.L.","PTE ILLIA 1715.","BELLA VISTA",2,1661,,,,"30-64694625-1",1,01/01/2011,1,,,11,0,"0,00","N",1,"N",6,0,1,
"201","LAINDELL A PTA 2 BIS",,,1,0,,,,,0,,1,,,11,0,"0,00","S",1,"N",6,0,1,
"204","NEUBELL GOMERIA","RTA.8 Y LEBENSHON","B.VISTA",2,1661,"4666-6450/0426/8888","PATRICIA",,"30-61093005-7",1,12/03/2002,1,,,12,0,"16,61","S",1,"N",6,0,1,
"205","TAURO LIBRERIA COMERCIAL","SANTOS VEGA 7503","J.M.BOSCH",2,1682,"4842-3012","ANA",,"27-14284643-3",1,25/04/2011,1,,,11,0,"-255,52","S",1,"N",6,3,2,
"206","ATHOS Libreria y Papeleri","ALVEAR 20","VILLA BALLESTER",2,1653,"4768-0470",,,"23-21989875-4",1,05/03/2001,1,,,11,0,"0,00","S",1,"N",6,6,1,
"250","TRANSPORTE RUTA 8 S.R.L.","DIAGONAL 101 Nº6390","LOMA HERMOSA",2,1657,"4848-2895",,,"30-68575892-6",1,18/11/2002,1,,,21,0,"1185,00","S",1,"N",9,3,1,
"251","EXPRESO COPAR","FERRE 3254","POMPEYA",1,1440,"4918-8126/7424","CTA CTE= MARY",,"30-68762223-1",1,01/01/2001,1,,,21,0,"0,00","S",1,"N",9,0,1,
"252","EXPRESO MASER S.A.","VERON DE ASTRADA 2669","CAPITAL FEDERAL",1,1278,"4919-9932/9916 (NUEVO)","CTACTE=SILVIA",,"30-68782508-6",1,01/11/2001,1,,,21,0,"2329,93","S",1,"N",9,0,1,
"253","EXPRESO LUJAN DE CUYO SA","LOS PATOS 2737","PARQUE PATRICIOS",1,1437,"4308-0035/36/37/38","DISTR:4912-7701/2/3/4/5/6","FAX=4912-7708","30-56625886-9",1,14/11/2000,1,,,21,0,"0,00","N",1,"N",9,0,1,
"254","TARRES S.R.L.","SUAREZ 2761/69","BARRACAS",1,1284,"4301-3295/6750",,,"30-57712707-3",1,01/01/2001,1,,,21,0,"0,00","S",1,"N",9,96,1,
"255","FURLAN Hnos.S.H.","GUIDO SPANO 1141","VILLA BOSCH",2,1682,"844-4021/15-5331-6588","RENATO y ENZO FURLAN","""    y   ""    ""","30-65428007-6",1,16/12/2000,1,,,21,0,"0,00","S",1,"N",9,0,1,
"256","SERVICIO DE CARGA S.A.","CAÑADA DE GOMEZ 2140","CAPITAL FEDERAL",1,1440,"4687-5294/5312",,,"30-69806843-0",1,01/10/2001,1,,,21,0,"0,00","S",1,"N",9,0,1,
"257","EXPRESO LA ROCA S.R.L","FERRE 3260","CAPITAL",1,0,"4919-7316/FAX 919-7534",,,"30-69887899-8",1,01/07/2003,1,,,21,0,"-418,44","S",1,"N",9,0,1,
"258","EL BAUTISTA S.A.","VARELA 3652","CAPITAL.VILLA SOLDATI",1,1347,"4919-5804/5807","NESTOR",,"30-69440230-1",1,15/04/2002,1,,,11,0,"-0,89","S",1,"N",9,0,1,
"259","DIAZ CARLOS REMIS","CABILDO 4927","VILLA BALLESTER",2,1653,"4764-0242/",,,"20-11433525-9",8,01/12/2003,2,,,21,0,"-178,00","S",4,"N",0,0,1,
"260","BEN-TO EXPRESS DE BENTOLL","MOM 3335","CAPITAL",1,1437,"4919-7316 FAX 4919-7534",,,"30-70768480-8",1,01/12/2002,1,,,29,0,"0,00","S",1,"N",9,0,1,
"261","SAN GABRIEL de Carla Elen","ARGENSOLA 37","CORDOBA",3,5001,"0351-4727745","BS AS 472-7745",,"27-24367506-0",1,01/12/2002,1,,,11,0,"0,00","S",1,"N",9,0,1,
"262","DISTRIBUIDORA LA VICTORIA","SEGUROLA 1574","VILLA INSUPERABLE",2,1752,"4652-4874",,,"27-10278681-0",8,31/12/2007,1,,,11,0,"0,00","S",4,"N",0,3,1,
"280","PROPER DE OSVALDO BALLATO","VALLE GRANDE 366","FLORIDA",2,1602,"4645-1381",,"OSVALDO RUBEN BALLATO","20-10623772-8",1,14/01/2011,1,,,11,,,"S",1,"N",6,3,2,
"300","PLANTA II            (97)","CALLE 103 Nº4767","V.BALLESTER",2,1653,"768-7158 / 767-1380",,,,1,08/01/2000,1,,,11,0,"0,00","S",1,"N",6,0,0,
"301","FONDO - CAJA CHICA - (P2)",,,2,0,"768-7158 █ 767-1380",,,,0,26/04/2000,1,,,11,0,"0,00","S",1,"S",6,0,0,
"303","PINIPOX SRL","ANGEL PINI 5451","CASEROS",2,1678,"4750-8277",,,"30-70833329-4",1,26/04/2004,1,,,11,0,"0,00","S",1,"N",6,0,1,
"304","SOLVAY INDUPA SAIC","Av.A.M.de JUSTO 1930-4ºP","PUERTO MADERO",1,1107,"4316-2300/2345 AMARILLA","RODRIGO 4316-2362","SR. TRONCOZO","30-50215081-9",1,01/02/2011,1,,,11,0,"0,01","S",4,"N",12,98,1,
"305","HENRY HIRSCHEN & CIA S.A.","AV.L.N.ALEM 1110","CAPITAL FEDERAL",1,1001,"5217-1500",,,"30-54078521-6",1,01/09/2010,1,10/02/1996,,11,0,"-439,42","S",1,"N",6,3,2,
"306","3M ARGENTINA SACIFIA","LOS ARBOLES 842","HURLINGHAM",2,1686,"469-8200","COSTA",,"30-52999439-3",1,25/08/1999,1,,,11,0,"0,00","S",1,"N",6,0,1,
"307","VORTEX ARGENTINA S.A.","RIGLOS 855","CAPITAL FEDERAL",1,1424,"4921-5242/4922-3373","4925-0044/4923-0305",,"30-67895544-9",1,14/05/2009,1,,,11,0,"0,00","S",1,"N",6,21,2,
"308","COLORMATCH S.A.","H.YRIGOYEN 4536","FLORIDA",2,1602,"760-5029/730-1491",,,"30-69169238-4",1,13/04/2011,1,,,11,0,"69,42","S",1,"N",6,21,2,
"309","UNIPOX S.A.","DR.PRONZATO 323","LAVALLOL",2,1836,"4298-5437//4298-1138",,,"30-70704770-0",1,17/03/2011,2,,,11,0,"-27178,23","S",1,"N",6,21,1,
"310","CRILEN S.A.","MARCOS SASTRE 745","EL TALAR",2,1602,"4726-9100","SR.ZUNINO",,"30-61288591-1",1,04/03/2008,2,,,11,0,"0,00","S",1,"N",6,0,1,
"311","FREE TEX S.R.L.","CORONEL F.UZAL 2871","OLIVOS",2,1636,"4762-3815","PAGOS: Marite","RALF","30-66172040-5",1,26/03/2001,1,,,11,0,"0,00","S",1,"N",6,0,0,
"312","PROQUIMEK DE G.IACOPI","ATUEL 254","HURLINGHAM",2,1686,"4665-8027",,,"20-08104981-6",1,04/12/2008,1,,,11,,,"S",1,"N",6,3,2,
"313","RIBBON DE ALFREDO COSTA","BERNARDO DE IRIGOYEN 694","FLORIDA",2,1602,"4760-0780/4761-7650","FAX 4747-3915","ING.ALFREDO COSTA","20-08209102-6",1,01/12/2003,2,,,11,0,"0,00","S",1,"N",6,0,1,
"314","QUIMECO-PRODUC.QUIMICOS","RIVADAVIA 6351 16 A2","CAPITAL FEDERAL",1,1406,"4631-3321","EDUARDO A. KIRCHHEIMER",,"20-07621021-8",1,11/02/2011,1,,,11,0,"858,25","S",1,"N",6,21,2,
"315","VARTECO QMICA.PUNTANA s.a","RCA.DEL LIBANO 4317","V.LYNCH - SAN MARTIN",2,1672,"754-3030 -FAX 754-2410","SUSANA int 107","SR ESTOLA","30-62123820-1",1,18/04/2011,1,29/07/1997,,11,0,"179254,88","S",1,"N",6,18,2,
"316","NOVA PRODUCTOS QUIMICO SA","CALLE 28 Nº3503","SAN MARTIN",2,0,"4752-9299","IACARUSO 15-54030900","IACARUSO","30-69525087-4",1,23/05/2002,1,,,11,0,"0,00","S",1,"N",6,95,1,
"317","CALIQUIM SAN LUIS S.A.","REP.DEL LIBANO 4317/19/21","VILLA LYNCH. PDO S.MARTIN",2,1672,"*754-2398*/2402/2609/2614","754-2606/3030","ESTOLA 15-4145-7082","30-60477295-4",1,23/06/1999,1,,,11,0,"0,00","S",1,"S",6,0,0,
"318","PREMIL S.A.","ARENALES 1974 9* ""B""","CAPITAL FEDERAL",1,1015,"5290-1023","EMILIO MUSSA","LAURA","30-70769206-1",1,30/01/2009,1,,,11,0,"0,00","S",1,"N",6,3,2,
"319","LESTAR QUIMICA S.A.","JOSE BONIFACIO 2177","CAPITAL FEDERAL",1,1406,"631-1125 FAX:633-2419","LILIANA COBRANZAS",,"30-50400904-8",1,07/02/2011,2,,,11,0,"0,00","S",1,"N",6,98,2,
"320","TREND CHEMICAL SA","PASTEUR 455 5º OF 18","CAPITAL",1,1028,"4723-2700","JAVIER",,"30-70844974-8",1,10/11/2009,1,,,11,0,"0,00","S",1,"N",6,97,2,
"321","ARCOLOR SACIIFA","CAVASSA 4131","CASEROS",2,1678,"4750-1317","GRISALVA 15-5122-8218",,"30-51919548-4",1,10/04/2001,1,,,11,0,"0,00","S",1,"N",6,9,0,
"323","CERAS SAN JUAN S.A.","AV.LIBERTADOR 8790","ALTO DE SIERRA",21,5438,"4576-4900 FAX 4576-4901",,,"30-50600274-1",1,18/08/2001,1,,,11,0,"0,00","S",1,"N",6,9,1,
"324","QUIPLAST S.A.","C.29 Nº2976 - V.ZAGALA","SAN MARTIN",2,1651,"752-2309/6122/6236","ALICIA",,"30-50470383-1",1,01/03/2011,1,,,11,0,"0,00","S",1,"N",6,96,1,
"325","TECNO TINTA SRL","CASTELAR 1530","LOMA HERMOSA",1,1015,"4769-1032","SERGIO MAGUEIRA",,"30-64442583-1",1,20/09/2004,1,,,11,0,"0,00","S",1,"N",6,0,1,
"326","PROCAL S.R.L.","SALTA 4063/65","SAN JUSTO",2,1754,"4672-3836   15-40550086","15-055-0086 MOV.HORACIO",,"30-60048860-7",1,25/08/1999,1,,,11,0,"0,00","S",1,"N",6,6,0,
"327","ARGENGUANT","OLEGARIO ANDRADE 4666","LAFERRERE",2,1757,"4626-1205",,,"20-26773349-0",1,30/09/2006,1,,,11,0,"0,00","S",1,"N",6,0,1,
"328","ELECTRONICA INDUSTRIAL","FRANCO 3671","CAPITAL FEDERAL",1,1419,"4504-0156   4420-3776","NITO",,"20-14151224-3",1,01/12/2005,1,,,11,0,"0,00","S",1,"N",6,0,1,
"329","PASCAL HERMANOS","RECONQUISTA 1747","LOMAS DEL MIRADOR",2,1752,"15-4972-8099","PABLO  4652-4874","4652-7814 casa padre","20-22047987-1",1,05/10/2004,1,,,11,0,"0,00","S",1,"S",6,9,1,
"330","COLORSUR S.R.L.","INCLAN 3092","SAN JUSTO",2,1754,"441-1677/1667/1683","ALEJANDRA","GUSTAVO:15-54108156","30-59140861-1",1,18/01/2011,1,,,11,0,"-4616,78","S",1,"N",6,9,0,
"331","CAMUATI S.A.I.C.","O.N.BONAVENA 1268","CAP.FED",1,1170,"4932-1680",,,"30-50078099-8",1,14/03/2011,1,,,11,0,"83,10","S",4,"N",12,3,2,
"332","SERVIQUIM SRL","BARZANA 1263","AGRONOMIA",1,1650,"4523-6383 MOV=15-448-8589","ANDREA","PIERUSINI","30-64265443-4",1,29/09/2003,1,,,11,0,"-147,57","S",1,"N",6,9,0,
"333","MOVITEC SERVICE S.R.L.","RUTA 8 NRO.9949","LOMA HERMOSA",2,1692,"4769-8219/4739-6791",,,"30-70887713-8",1,14/01/2010,1,,,11,0,"-1414,00","S",1,"N",10,3,3,
"334","EL BONAERENSE","PASAJE UNIVERSO 4404","VILLA BALLESTER",2,1653,,,,"27-60009510-8",1,09/11/2001,1,,,11,0,"-503,00","S",1,"N",6,0,1,
"335","OMYA ARGENTINA SA","DARDO ROCHA 3334","MARTINEZ",16,1640,"4717-9303/9300",,"EDUARDO","30-60964504-7",1,18/08/2005,1,,,11,0,"0,00","S",1,"N",6,3,1,
"336","HIDROMOR DE MORO WALTER","AZOPARDO 6172","BILLINGHURST",2,1650,"4844-6463//15-4986-9911",,,"20-23192223-8",1,01/12/2008,1,,,11,0,"0,00","S",1,"N",10,3,3,
